optimal_tour,optimal_tour_length,2opt_tour,2opt_tour_length,score,time
"{1, 10, 2, 13, 9, 20, 8, 17, 16, 11, 19, 15, 3, 5, 6, 18, 14, 7, 12, 4, 1}",4.005063,"{1, 10, 2, 13, 17, 16, 8, 20, 9, 6, 3, 15, 11, 19, 5, 18, 14, 7, 12, 4, 1}",4.146237,0.035249,0.000474
"{1, 8, 4, 9, 6, 2, 15, 10, 13, 3, 18, 7, 14, 11, 20, 5, 12, 16, 17, 19, 1}",4.003620,"{1, 19, 9, 16, 17, 12, 5, 20, 11, 14, 7, 18, 3, 13, 2, 6, 15, 10, 4, 8, 1}",4.090559,0.021715,0.001503
"{1, 19, 11, 9, 17, 14, 13, 7, 6, 15, 4, 10, 18, 12, 3, 5, 8, 20, 2, 16, 1}",4.069552,"{1, 19, 9, 7, 6, 15, 4, 10, 18, 12, 3, 5, 8, 20, 2, 13, 14, 17, 11, 16, 1}",4.311395,0.059427,0.000614
"{1, 11, 2, 6, 20, 4, 13, 7, 10, 16, 14, 5, 15, 12, 18, 9, 17, 19, 3, 8, 1}",3.183201,"{1, 8, 11, 13, 4, 7, 10, 16, 14, 5, 15, 12, 18, 9, 3, 17, 19, 20, 6, 2, 1}",3.336409,0.048130,0.000292
"{1, 10, 2, 19, 12, 16, 7, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 13, 3, 4, 1}",3.506426,"{1, 10, 2, 19, 12, 16, 7, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 13, 3, 4, 1}",3.506426,0.000000,0.000492
"{1, 19, 5, 11, 4, 8, 3, 13, 14, 18, 20, 12, 9, 7, 2, 16, 10, 15, 17, 6, 1}",3.565069,"{1, 6, 17, 15, 10, 16, 2, 7, 9, 20, 18, 12, 13, 3, 14, 8, 4, 11, 5, 19, 1}",3.621145,0.015729,0.000666
"{1, 9, 8, 3, 12, 2, 13, 4, 15, 20, 10, 18, 7, 14, 17, 6, 5, 11, 19, 16, 1}",4.005012,"{1, 16, 19, 5, 6, 17, 14, 7, 18, 10, 20, 15, 11, 4, 13, 2, 12, 3, 8, 9, 1}",4.019783,0.003688,0.000741
"{1, 12, 2, 16, 6, 15, 5, 7, 14, 10, 19, 8, 11, 4, 3, 13, 9, 20, 18, 17, 1}",4.007835,"{1, 17, 18, 20, 9, 13, 3, 4, 11, 8, 19, 10, 14, 7, 5, 15, 6, 16, 2, 12, 1}",4.007836,0.000000,0.001222
"{1, 9, 15, 11, 13, 17, 12, 19, 8, 5, 6, 10, 18, 2, 14, 3, 4, 7, 20, 16, 1}",3.340037,"{1, 16, 20, 7, 14, 2, 18, 5, 8, 19, 12, 17, 13, 11, 15, 9, 6, 10, 3, 4, 1}",3.572571,0.069620,0.000489
"{1, 4, 14, 18, 9, 3, 6, 5, 12, 16, 10, 15, 17, 13, 20, 7, 11, 19, 2, 8, 1}",3.746554,"{1, 4, 14, 18, 9, 3, 6, 5, 12, 16, 10, 13, 17, 20, 15, 7, 11, 19, 2, 8, 1}",3.765740,0.005121,0.001058
"{1, 9, 8, 11, 14, 3, 20, 13, 2, 17, 16, 18, 5, 19, 12, 4, 7, 10, 6, 15, 1}",3.382577,"{1, 15, 6, 10, 7, 4, 12, 19, 5, 18, 16, 17, 2, 13, 20, 3, 14, 11, 8, 9, 1}",3.382577,0.000000,0.000428
"{1, 5, 12, 18, 20, 11, 19, 17, 2, 16, 8, 3, 10, 14, 6, 7, 15, 9, 4, 13, 1}",3.947663,"{1, 13, 4, 9, 15, 7, 14, 10, 3, 8, 16, 2, 17, 19, 11, 6, 20, 18, 12, 5, 1}",3.979540,0.008075,0.000468
"{1, 15, 4, 2, 19, 8, 16, 11, 9, 7, 12, 5, 17, 10, 20, 3, 18, 14, 6, 13, 1}",3.923082,"{1, 13, 6, 14, 18, 3, 20, 10, 17, 5, 12, 7, 9, 11, 16, 8, 19, 2, 4, 15, 1}",3.923082,0.000000,0.000297
"{1, 4, 11, 6, 20, 13, 12, 19, 17, 10, 9, 8, 5, 2, 7, 14, 15, 18, 16, 3, 1}",3.830351,"{1, 4, 11, 6, 20, 13, 12, 19, 17, 10, 9, 8, 5, 2, 7, 14, 15, 18, 16, 3, 1}",3.830351,0.000000,0.001153
