optimal_tour,optimal_tour_length,threshold_accepting_tour,threshold_accepting_tour_length,score,time
"{1, 10, 3, 8, 7, 2, 9, 6, 4, 5, 1}",2.246194,"{1, 10, 3, 8, 7, 2, 9, 6, 4, 5, 1}",2.246194,0.000000,0.031977
"{1, 5, 10, 9, 6, 3, 2, 4, 8, 7, 1}",2.305412,"{1, 5, 7, 8, 4, 2, 3, 6, 9, 10, 1}",2.356801,0.022291,0.032049
"{1, 6, 5, 10, 7, 8, 4, 3, 2, 9, 1}",3.042859,"{1, 6, 5, 10, 7, 8, 4, 3, 2, 9, 1}",3.042859,0.000000,0.032262
"{1, 10, 8, 2, 5, 9, 6, 7, 4, 3, 1}",2.761835,"{1, 10, 8, 2, 5, 9, 6, 7, 4, 3, 1}",2.761835,0.000000,0.031782
"{1, 5, 2, 10, 4, 6, 3, 8, 9, 7, 1}",3.298447,"{1, 7, 9, 8, 3, 6, 4, 10, 2, 5, 1}",3.298447,0.000000,0.032054
"{1, 2, 8, 7, 4, 6, 9, 10, 5, 3, 1}",3.179974,"{1, 2, 8, 7, 4, 6, 9, 10, 5, 3, 1}",3.179974,0.000000,0.031746
"{1, 4, 8, 3, 10, 9, 6, 2, 5, 7, 1}",2.891815,"{1, 7, 5, 2, 6, 9, 10, 3, 8, 4, 1}",2.891815,0.000000,0.032008
"{1, 8, 10, 3, 7, 5, 4, 6, 2, 9, 1}",2.813618,"{1, 8, 10, 3, 7, 5, 4, 6, 2, 9, 1}",2.813618,0.000000,0.032007
"{1, 7, 6, 10, 2, 5, 4, 3, 9, 8, 1}",3.384711,"{1, 7, 6, 10, 2, 5, 4, 3, 9, 8, 1}",3.384711,0.000000,0.032286
"{1, 8, 4, 2, 7, 3, 5, 6, 10, 9, 1}",2.548864,"{1, 9, 10, 6, 5, 3, 7, 2, 4, 8, 1}",2.548864,0.000000,0.032684
"{1, 4, 3, 8, 7, 2, 6, 5, 9, 10, 1}",3.325739,"{1, 4, 3, 8, 7, 2, 6, 5, 9, 10, 1}",3.325739,0.000000,0.031955
