optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 7, 2, 10, 4, 9, 8, 6, 3, 5, 1}",2.737237,"{1, 7, 10, 2, 4, 8, 9, 3, 6, 5, 1}",2.924566,0.068437,0.000018
"{1, 5, 8, 4, 3, 10, 9, 2, 6, 7, 1}",2.986832,"{1, 5, 8, 10, 9, 2, 6, 7, 4, 3, 1}",3.823086,0.279980,0.000018
"{1, 10, 6, 3, 7, 5, 4, 8, 9, 2, 1}",3.221305,"{1, 2, 9, 8, 5, 4, 7, 3, 6, 10, 1}",3.244821,0.007300,0.000018
"{1, 7, 6, 10, 3, 9, 5, 8, 2, 4, 1}",2.239931,"{1, 6, 10, 3, 9, 5, 8, 2, 4, 7, 1}",2.257848,0.007999,0.000018
"{1, 9, 7, 6, 3, 8, 5, 10, 2, 4, 1}",3.254561,"{1, 9, 4, 2, 10, 5, 7, 6, 3, 8, 1}",3.661418,0.125011,0.000018
"{1, 10, 3, 8, 7, 2, 9, 6, 4, 5, 1}",2.246194,"{1, 10, 3, 8, 7, 2, 9, 6, 4, 5, 1}",2.246194,0.000000,0.000018
"{1, 5, 10, 9, 6, 3, 2, 4, 8, 7, 1}",2.305412,"{1, 5, 7, 8, 4, 2, 3, 6, 9, 10, 1}",2.356801,0.022291,0.000018
"{1, 6, 5, 10, 7, 8, 4, 3, 2, 9, 1}",3.042859,"{1, 6, 9, 2, 3, 4, 5, 10, 7, 8, 1}",3.468939,0.140026,0.000018
"{1, 10, 8, 2, 5, 9, 6, 7, 4, 3, 1}",2.761835,"{1, 10, 3, 4, 7, 8, 2, 9, 5, 6, 1}",3.137149,0.135893,0.000018
"{1, 5, 2, 10, 4, 6, 3, 8, 9, 7, 1}",3.298447,"{1, 3, 6, 8, 9, 7, 5, 2, 10, 4, 1}",3.338761,0.012222,0.000018
"{1, 2, 8, 7, 4, 6, 9, 10, 5, 3, 1}",3.179974,"{1, 3, 9, 10, 5, 4, 7, 8, 2, 6, 1}",4.578944,0.439931,0.000018
"{1, 4, 8, 3, 10, 9, 6, 2, 5, 7, 1}",2.891815,"{1, 7, 5, 9, 6, 2, 10, 3, 8, 4, 1}",3.108846,0.075050,0.000018
